title = "boundary data"
variables = "x","y","rho","u","v","p"
 zone t=slip_wall I=          81  F=POINT
  0.50000000000000000       0.50000000000000000        1.0223696655506236        1.3875152211816997E-003  -6.8716733692131271E-016  0.73871122798921018     
  0.49845866687000001       0.49845866687000001        1.0223177661055878        2.1490125358214905E-003   3.2931250078253563E-003  0.73866307800637154     
  0.49384417030000000       0.49384417030000000        1.0222121669028812        5.6955136312728432E-003   1.0414970420728647E-002  0.73856842493330266     
  0.48618496020000002       0.48618496020000002        1.0218687620414684        1.5610297053601743E-002   2.5768358331418637E-002  0.73821321251693173     
  0.47552825814999999       0.47552825814999999        1.0207289125346630        3.2407379154512937E-002   5.1464851569481822E-002  0.73698263624490323     
  0.46193976626000000       0.46193976626000000        1.0179748738126710        5.6257162823773410E-002   8.5045480649155347E-002  0.73405485888002930     
  0.44550326209000002       0.44550326209000002        1.0128721924499839        8.6745078731254463E-002  0.12190587214186359       0.72873269432838939     
  0.42632008218000000       0.42632008218000000        1.0051570295411187       0.12309032027477147       0.15754634968526540       0.72080081368212390     
  0.40450849718999998       0.40450849718999998       0.99503023906748400       0.16437181566111023       0.18867779527422127       0.71050295140840036     
  0.38020298279999998       0.38020298279999998       0.98293953270180967       0.20947894439835793       0.21325394042393656       0.69832005907859218     
  0.35355339059000002       0.35355339059000002       0.96942705527063244       0.25717894047256934       0.23012787569469226       0.68481606632049041     
  0.32472402417000001       0.32472402417000001       0.95504279348481980       0.30618232522623395       0.23875951762448996       0.67055122580204385     
  0.29389262615000000       0.29389262615000000       0.94030981339026332       0.35517950046565061       0.23901713851188358       0.65604789100140870     
  0.26124928236000000       0.26124928236000000       0.92571903187016424       0.40286332882371889       0.23105591996696009       0.64178568964398142     
  0.22699524987000000       0.22699524987000000       0.91173407102524973       0.44794612904302245       0.21525371824334558       0.62820692088829277     
  0.19134171618000001       0.19134171618000001       0.89879454491406074       0.48918041886336922       0.19218286921553604       0.61572091272479523     
  0.15450849719000001       0.15450849719000001       0.88731711680018999       0.52538529414929280       0.16259786575002513       0.60470686968420362     
  0.11672268193000000       0.11672268193000000       0.87766266333738052       0.55550522809570280       0.12744706855112439       0.59548527497890424     
   7.8217232519999999E-002   7.8217232519999999E-002  0.87027934530648821       0.57849034091928753        8.7794151786889818E-002  0.58845709137130553     
   3.9229547864000000E-002   3.9229547864000000E-002  0.86461067238823797       0.59427719154197356        4.5296407250964781E-002  0.58307783963485582     
  -1.1102230246000000E-016  -1.1102230246000000E-016  0.86423673731854012       0.59817077625862880       -1.1021255298501320E-002  0.58270784273994791     
  -3.9229547864000000E-002  -3.9229547864000000E-002  0.86629193651640313       0.59137604517683029       -6.8135146082777001E-002  0.58461554723456433     
  -7.8217232519999999E-002  -7.8217232519999999E-002  0.87145316298112352       0.57583877191379795      -0.11160776438855718       0.58944759373751354     
 -0.11672268193000000      -0.11672268193000000       0.87899827553843368       0.55318406502440698      -0.15177089510427114       0.59655780179978368     
 -0.15450849719000001      -0.15450849719000001       0.88852513205884032       0.52409775718579654      -0.18752837329810060       0.60558465149534324     
 -0.19134171618000001      -0.19134171618000001       0.89971271986471868       0.48954874768360995      -0.21803673890383860       0.61624510181842262     
 -0.22699524987000000      -0.22699524987000000       0.91218185330724999       0.45065268379755108      -0.24263904049868557       0.62819737359721783     
 -0.26124928236000000      -0.26124928236000000       0.92554309118552280       0.40858073057763900      -0.26088790285355001       0.64108393613993209     
 -0.29389262615000000      -0.29389262615000000       0.93941811924969842       0.36450258687177844      -0.27252868069030939       0.65455039929434244     
 -0.32472402417000001      -0.32472402417000001       0.95345083577933698       0.31955376131847896      -0.27748033293358115       0.66825568592011819     
 -0.35355339059000002      -0.35355339059000002       0.96731245737900728       0.27481536179336380      -0.27581633960035551       0.68187733456163946     
 -0.38020298279999998      -0.38020298279999998       0.98070367218452892       0.23130074934493994      -0.26774702347930107       0.69511456484165313     
 -0.40450849718999998      -0.40450849718999998       0.99335535239686656       0.18994609849335597      -0.25360315655276100       0.70769034292639343     
 -0.42632008218000000      -0.42632008218000000        1.0050285734605804       0.15160344529057460      -0.23382023385204911       0.71935300321456774     
 -0.44550326209000002      -0.44550326209000002        1.0155143226570962       0.11703530437472849      -0.20892233859810419       0.72987766737036119     
 -0.46193976626000000      -0.46193976626000000        1.0246320649683425        8.6910748730313639E-002 -0.17950607154996798       0.73906665909269054     
 -0.47552825814999999      -0.47552825814999999        1.0322304162930616        6.1797079617235795E-002 -0.14622134503668574       0.74675190779403622     
 -0.48618496020000002      -0.48618496020000002        1.0381742402437062        4.2157271193011582E-002 -0.10978139043668857       0.75278486267633971     
 -0.49384417030000000      -0.49384417030000000        1.0424040948686704        2.8216969898938470E-002  -7.0904965721493560E-002  0.75709802802120851     
 -0.49845866687000001      -0.49845866687000001        1.0446794808336402        2.0180874781562667E-002  -3.0765242212404332E-002  0.75943574291946758     
 -0.50000000000000000      -0.50000000000000000        1.0455201224412511        1.3324332455451572E-002  -9.4282220919339466E-016  0.76031064143548954     
 -0.49845866687000001      -0.49845866687000001        1.0446794808336406        2.0180874781562969E-002   3.0765242212403229E-002  0.75943574291946769     
 -0.49384417030000000      -0.49384417030000000        1.0424040948686706        2.8216969898937971E-002   7.0904965721492574E-002  0.75709802802120885     
 -0.48618496020000002      -0.48618496020000002        1.0381742402437062        4.2157271193011020E-002  0.10978139043668739       0.75278486267633993     
 -0.47552825814999999      -0.47552825814999999        1.0322304162930607        6.1797079617235358E-002  0.14622134503668449       0.74675190779403655     
 -0.46193976626000000      -0.46193976626000000        1.0246320649683420        8.6910748730313125E-002  0.17950607154996678       0.73906665909269076     
 -0.44550326209000002      -0.44550326209000002        1.0155143226570962       0.11703530437472787       0.20892233859810308       0.72987766737036130     
 -0.42632008218000000      -0.42632008218000000        1.0050285734605799       0.15160344529057404       0.23382023385204823       0.71935300321456774     
 -0.40450849718999998      -0.40450849718999998       0.99335535239686623       0.18994609849335556       0.25360315655276028       0.70769034292639332     
 -0.38020298279999998      -0.38020298279999998       0.98070367218452870       0.23130074934493952       0.26774702347930074       0.69511456484165279     
 -0.35355339059000002      -0.35355339059000002       0.96731245737900728       0.27481536179336369       0.27581633960035545       0.68187733456163890     
